GRPCODE;GRPNAME;MKBCODE
10 001 299;Врожденные отсутствие, атрезия и стеноз толстого кишечника;Q42
10 001 300;Другие врожденные аномалии [пороки развития] кишечника;Q43
10 001 301;Врожденные аномалии [пороки развития] желчного пузыря,;Q44
10 001 302;Другие врожденные аномалии [пороки развития] органов пищеварения;Q45
10 001 303;Врожденные аномалии [пороки развития] яичников, фаллопиевых труб и широких связок;Q50
10 001 304;Врожденные аномалии [пороки развития] развития тела и шейки матки;Q51
10 001 305;Другие врожденные аномалии [пороки развития] женских половых органов;Q52
10 001 306;Неопущение яичка;Q53
10 001 307;Гипоспадия;Q54
10 001 308;Другие врожденные аномалии [пороки развития] мужских половых органов;Q55
10 001 309;Неопределенность пола и псевдогермафродитизм;Q56
10 001 310;Агенезия и другие редукционные дефекты почки;Q60
10 001 311;Кистозная болезнь почек;Q61
10 001 312;Врожденные нарушения проходимости почечной лоханки и врожденные аномалии мочеточника;Q62
10 001 313;Другие врожденные аномалии [пороки развития] почки;Q63
10 001 314;Другие врожденные аномалии [пороки развития] мочевой системы;Q64
10 001 315;Врожденные деформации бедра;Q65
10 001 316;Врожденные деформации стопы;Q66
10 001 317;Врожденные костно-мышечные деформации головы, лица, позвоночника и грудной клетки;Q67
10 001 318;Другие врожденные костно-мышечные деформации;Q68
10 001 319;Полидактилия;Q69
10 001 320;Синдактилия;Q70
10 001 321;Дефекты, укорачивающие верхнюю конечность;Q71
10 001 322;Дефекты, укорачивающие нижнюю конечность;Q72
10 001 323;Дефекты, укорачивающие конечность неуточненную;Q73
10 001 324;Другие врожденные аномалии [пороки развития] конечности(ей);Q74
10 001 325;Другие врожденные аномалии [пороки развития] костей черепа и лица;Q75
10 001 326;Врожденные аномалии [пороки развития] позвоночника и костей грудной клетки;Q76
10 001 327;Остеохондродисплазия с дефектами роста трубчатых костей и позвоночника;Q77
10 001 328;Другие остеохондродисплазии;Q78
10 001 329;Врожденные аномалии [пороки развития] костно-мышечной системы, не классифицированные в других рубриках;Q79
10 001 330;Врожденный ихтиоз;Q80
10 001 331;Буллезный эпидермолиз;Q81
10 001 332;Другие врожденные аномалии [пороки развития] кожи;Q82
10 001 333;Врожденные аномалии [пороки развития] молочной железы;Q83
10 001 334;Другие врожденные аномалии [пороки развития] наружных покровов;Q84
10 001 335;Факоматозы, не классифицированные в других рубриках;Q85
10 001 336;Синдромы врожденных аномалий [пороков развития], обусловленные известными экзогенными факторами, не классифицированные в других рубриках;Q86
10 001 337;Другие уточненные синдромы врожденных аномалий [пороков развития], затрагивающих несколько систем;Q87
10 001 338;Другие врожденные аномалии [пороки развития], не классифицированные в других рубриках;Q89
10 001 339;Синдром Дауна;Q90
10 001 340;Синдром Эдвардса и синдром Патау;Q91
10 001 341;Другие трисомии и частичные трисомии аутосом, не классифицированные в других рубриках;Q92
10 001 342;Моносомии и утраты части аутосом, не классифицированные в других рубриках;Q93
10 001 343;Сбалансированные перестройки и структурные маркеры, не классифицированные в других рубриках;Q95
10 001 344;Синдром Тернера;Q96
10 001 345;Другие аномалии половых хромосом, женский фенотип, не классифицированные в других рубриках;Q97
10 001 346;Другие аномалии половых хромосом, мужской фенотип, не классифицированные в других рубриках;Q98
10 001 347;Другие аномалии хромосом, не классифицированные в других рубриках;Q99
10 001 348;Отклонения от нормы сердечного ритма;R00
10 001 349;Сердечные шумы и другие сердечные звуки;R01
10 001 350;Гангрена, не классифицированная в других рубриках;R02
10 001 351;Анормальные показатели кровяного давления при отсутствии диагноза;R03
10 001 352;Кровотечение из дыхательных путей;R04
10 001 353;Кашель;R05
10 001 354;Аномальное дыхание;R06
10 001 355;Боль в горле и в груди;R07
10 001 356;Другие симптомы и признаки, относящиеся к системам кровообращения и дыхания;R09
10 001 357;Боли в области живота и таза;R10
10 001 358;Тошнота и рвота;R11
10 001 359;Изжога;R12
10 001 360;Дисфагия;R13
10 001 361;Метеоризм и родственные состояния;R14
10 001 362;Недержание кала;R15
10 001 363;Гепатомегалия и спленомегалия, не классифицированные в других рубриках;R16
10 001 364;Неуточненная желтуха;R17
10 001 365;Асцит;R18
10 001 366;Другие симптомы и признаки, относящиеся к системе пищеварения и брюшной полости;R19
10 001 367;Нарушение кожной чувствительности;R20
10 001 368;Сыпь и другие неспецифические кожные высыпания;R21
10 001 369;Локализованное выбухание, уплотнение или припухлость кожи и подкожной клетчатки;R22
10 001 370;Другие кожные изменения;R23
10 001 371;Анормальные непроизвольные движения;R25
10 001 372;Нарушения походки и подвижности;R26
10 001 373;Другое нарушение координации;R27
10 001 374;Другие симптомы и признаки, относящиеся к нервной и костно мышечной системам;R29
10 001 375;Боль связанная с мочеиспусканием;R30
10 001 376;Неспецифическая гематурия;R31
10 001 377;Недержание мочи неуточненное;R32
10 001 378;Задержка мочи;R33
10 001 379;Анурия и олигурия;R34
10 001 380;Полиурия;R35
10 001 381;Выделения из уретры;R36
10 001 382;Другие симптомы и признаки, относящиеся к мочевыделительной системе;R39
10 001 383;Сомнолентность, ступор и кома;R40
10 001 384;Другие симптомы и признаки, относящиеся к познавательной способности и осознанию;R41
10 001 385;Головокружение и нарушение устойчивости;R42
10 001 386;Нарушения обоняния и вкусовой чувствительности;R43
10 001 387;Другие симптомы и признаки, относящиеся к общим ощущениям и восприятиям;R44
10 001 388;Симптомы и признаки, относящиеся к эмоциональному состоянию;R45
10 001 389;Симптомы и признаки, относящиеся к внешнему виду и поведению;R46
10 001 390;Нарушения речи, не классифицированные в других рубриках;R47
10 001 391;Дислексия и другие нарушения узнавания и понимания символов и знаков, не классифицированные с других рубриках;R48
10 001 392;Нарушения голоса;R49
10 001 393;Лихорадка неясного происхождения;R50
10 001 394;Головная боль;R51
10 001 395;Боль, не классифицированная в других рубриках;R52
10 001 396;Недомогание и утомляемость;R53
10 001 397;Старость;R54
10 001 398;Обморок [синкопе] и коллапс;R55
10 001 399;Судороги, не классифицированные в других рубриках;R56
10 001 400;Шок, не классифицированный в других рубриках;R57
10 001 401;Кровотечение, не классифицированное в других рубриках;R58
10 001 402;Увеличение лимфатических узлов;R59
10 001 403;Отек, не классифицированный в других рубриках;R60
10 001 404;Гипергидроз;R61
10 001 405;Отсутствие ожидаемого нормального физиологического развития;R62
10 001 406;Симптомы и признаки, связанные с приемом пищи и жидкости;R63
10 001 407;Кахексия;R64
10 001 408;Другие общие симптомы и признаки;R68
10 001 409;Неизвестные и неуточненные причины заболевания;R69
10 001 410;Ускоренное оседание эритроцитов и аномалии вязкости плазмы[крови];R70
10 001 411;Аномалия эритроцитов;R71
10 001 412;Аномалия лейкоцитов, не классифицированная в других рубриках;R72
10 001 413;Повышенное содержание глюкозы в крови;R73
10 001 414;Отклонения от нормы содержания ферментов в сыворотке;R74
10 001 415;Лабораторное обнаружение вируса иммунодефицита человека [ВИЧ];R75
10 001 416;Другие отклонения от нормы, выявленные при иммунологическом исследовании сыворотки;R76
10 001 417;Другие отклонения от нормы белков плазмы;R77
10 001 418;Обнаружение лекарственных средств и других веществ, в норме не присутствующих в крови;R78
10 001 419;Другие отклонения от нормы химического состава крови;R79
10 001 420;Изолированная протеинурия;R80
10 001 421;Гликозурия;R81
10 001 422;Другие отклонения от нормы, выявленные при исследовании мочи;R82
10 001 423;Отклонения от нормы, выявленные при исследовании спинномозговой жидкости;R83
10 001 424;Отклонения от нормы, выявленные при исследовании препаратов из органов дыхания и грудной клетки;R84
10 001 425;Отклонения от нормы, выявленные при исследовании препаратов;R85
10 001 426;Отклонения от нормы, выявленные при исследовании препаратов из мужских половых органов;R86
10 001 427;Отклонения от нормы, выявленные при исследовании препаратов;R87
10 001 428;Отклонения от нормы, выявленные при исследовании препаратов из других органов, систем и тканей;R89
10 001 429;Отклонения от нормы, выявленные при получении диагностических изображений в ходе исследования центральной нервной системы;R90
10 001 430;Отклонения от нормы, выявленные при получении диагностического изображения в ходе исследования легких;R91
10 001 431;Отклонения от нормы, выявленные при получении диагностического изображения в ходе исследования молочной железы;R92
10 001 432;Отклонения от нормы, выявленные при получении диагностического изображения в ходе исследования других органов и областей тела;R93
10 001 433;Отклонения от нормы, выявленные при проведении функциональных исследований;R94
10 001 434;Внезапная смерть грудного ребенка;R95
10 001 435;Другие виды внезапной смерти по неизвестной причине;R96
10 001 436;Смерть без свидетелей;R98
10 001 437;Другие неточно обозначенные и неуточненные причины смерти;R99
10 001 438;Поверхностная травма головы;S00
10 001 439;Открытая рана головы;S01
10 001 440;Перелом черепа и лицевых костей;S02
10 001 441;Вывих, растяжение и перенапряжение суставов и связок головы;S03
10 001 442;Травма черепных нервов;S04
10 001 443;Травма глаза и глазницы;S05
10 001 444;Внутричерепная травма;S06
10 001 445;Размозжение головы;S07
10 001 446;Травматическая ампутация части головы;S08
10 001 447;Другие и неуточненные травмы головы;S09
10 001 448;Поверхностная травма шеи;S10
10 001 449;Открытая рана шеи;S11
10 001 450;Перелом шейного отдела позвоночника;S12
10 001 451;Вывих, растяжение и перенапряжение капсульно-связочного аппарата на уровне шеи;S13
10 001 452;Травма нервов и спинного мозга на уровне шеи;S14
10 001 453;Травма кровеносных сосудов на уровне шеи;S15
10 001 454;Травма мышц и сухожилий на уровне шеи;S16
10 001 455;Размозжение шеи;S17
10 001 456;Травматическая ампутация на уровне шеи;S18
10 001 457;Другие и неуточненные травмы шеи;S19
10 001 458;Поверхностная травма грудной клетки;S20
10 001 459;Открытая рана грудной клетки;S21
10 001 460;Перелом ребра (ребер), грудины и грудного отдела позвоночника;S22
10 001 461;Вывих, растяжение и перенапряжение капсульно-связочного аппарата грудной клетки;S23
10 001 462;Травма нервов и спинного мозга в грудном отделе;S24
10 001 463;Травма кровеносных сосудов грудного отдела;S25
10 001 464;Травма сердца;S26
10 001 465;Травма других и неуточненных органов грудной полости;S27
10 001 466;Размозжение грудной клетки и травматическая ампутация части грудной клетки;S28
10 001 467;Другие и неуточненные травмы грудной клетки;S29
10 001 468;Поверхностная травма живота, нижней части спины и таза;S30
10 001 469;Открытая рана живота, нижней части спины и таза;S31
10 001 470;Перелом пояснично-крестцового отдела позвоночника и костей таза;S32
10 001 471;Вывих, растяжение и перенапряжение капсульно-связочного аппарата поясничного отдела позвоночника и таза;S33
10 001 472;Травма нервов и поясничного отдела спинного мозга на уровне живота, нижней части спины и таза;S34
10 001 473;Травма кровеносных сосудов на уровне живота, нижней части спины и таза;S35
10 001 474;Травма органов брюшной полости;S36
10 001 475;Травма тазовых органов;S37
10 001 476;Размозжение и травматическая ампутация части живота, нижней части спины и таза;S38
10 001 477;Другие и неуточненные травмы живота, нижней части спины и таза;S39
10 001 478;Поверхностная травма плечевого пояса и плеча;S40
10 001 479;Открытая рана плечевого пояса и плеча;S41
10 001 480;Перелом на уровне плечевого пояса и плеча;S42
10 001 481;Вывих, растяжение и перенапряжение капсульно-связочного аппарата плечевого пояса;S43
10 001 482;Травма нервов на уровне плечевого пояса и плеча;S44
10 001 483;Травма кровеносных сосудов на уровне плечевого пояса и плеча;S45
10 001 484;Травма мышцы и сухожилия на уровне плечевого пояса и плеча;S46
10 001 485;Размозжение плечевого пояса и плеча;S47
10 001 486;Травматическая ампутация плечевого пояса и плеча;S48
10 001 487;Другие и неуточненные травмы плечевого пояса и плеча;S49
10 001 488;Поверхностная травма предплечья;S50
10 001 489;Открытая рана предплечья;S51
10 001 490;Перелом костей предплечья;S52
10 001 491;Вывих, растяжение и перенапряжение капсульно-связочного аппарата локтевого сустава;S53
10 001 492;Травма нервов на уровне предплечья;S54
10 001 493;Травма кровеносных сосудов на уровне предплечья;S55
10 001 494;Травма мышцы и сухожилия на уровне предплечья;S56
10 001 495;Размозжение предплечья;S57
10 001 496;Травматическая ампутация предплечья;S58
10 001 497;Другие и неуточненные травмы предплечья;S59
10 001 498;Поверхностная травма запястья и кисти;S60
10 001 499;Открытая рана запястья и кисти;S61
10 001 500;Перелом на уровне запястья и кисти;S62
10 001 501;Вывих, растяжение и перенапряжение капсульно-связочного аппарата на уровне запястья и кисти;S63
10 001 502;Травма нервов на уровне запястья и кисти;S64
10 001 503;Травма кровеносных сосудов на уровне запястья и кисти;S65
10 001 504;Травма мышцы и сухожилия на уровне запястья и кисти;S66
10 001 505;Размозжение запястья и кисти;S67
10 001 506;Травматическая ампутация запястья и кисти;S68
10 001 507;Другие и неуточненные травмы запястья и кисти;S69
10 001 508;Поверхностная травма области тазобедренного сустава и бедра;S70
10 001 509;Открытая рана области тазобедренного сустава и бедра;S71
10 001 510;Перелом бедренной кости;S72
10 001 511;Вывих, растяжение и перенапряжение капсульно-связочного;S73
10 001 512;Травмы нервов на уровне тазобедренного сустава бедра;S74
10 001 513;Травма кровеносных сосудов на уровне тазобедренного сустава и бедра;S75
10 001 514;Травма мышцы и сухожилия на уровне тазобедренного сустава и бедра;S76
10 001 515;Размозжение области тазобедренного сустава и бедра;S77
10 001 516;Травматическая ампутация области тазобедренного сустава и бедра;S78
10 001 517;Другие и неуточненные травмы области тазобедренного сустава и бедра;S79
10 001 518;Поверхностная травма голени;S80
10 001 519;Открытая рана голени;S81
10 001 520;Перелом голени, включая голеностопный сустав;S82
10 001 521;Вывих, растяжение и перенапряжение капсульно-связочного аппарата коленного сустава;S83
10 001 522;Травма нервов на уровне голени;S84
10 001 523;Травма кровеносных сосудов на уровне голени;S85
10 001 524;Травма мышцы и сухожилия на уровне голени;S86
10 001 525;Размозжение голени;S87
10 001 526;Травматическая ампутация голени;S88
10 001 527;Другие и неуточненные травмы голени;S89
10 001 528;Поверхностная травма области голеностопного сустава и стопы;S90
10 001 529;Открытая рана области голеностопного сустава и стопы;S91
10 001 530;Перелом стопы, исключая перелом голеностопного сустава;S92
10 001 531;Вывих, растяжение и перенапряжение капсульно-связочного аппарата голеностопного сустава и стопы;S93
10 001 532;Травма нервов на уровне голеностопного сустава и стопы;S94
10 001 533;Травма кровеносных сосудов на уровне голеностопного сустава и стопы;S95
10 001 534;Травма мышцы и сухожилия на уровне голеностопного сустава и стопы;S96
10 001 535;Размозжение голеностопного сустава и стопы;S97
10 001 536;Травматическая ампутация на уровне голеностопного сустава и стопы;S98
10 001 537;Другие и неуточненные травмы голеностопного сустава и стопы;S99
10 001 538;Поверхностные травмы, захватывающие несколько областей тела;T00
10 001 539;Открытые раны, захватывающие несколько областей тела;T01
10 001 540;Переломы, захватывающие несколько областей тела;T02
10 001 541;Вывихи, растяжения и перенапряжение капсульно-связочного аппарата суставов, захватывающие несколько областей тела;T03
10 001 542;Размозжения, захватывающие несколько областей тела;T04
10 001 543;Травматические ампутации, захватывающие несколько областей тела;T05
10 001 544;Другие травмы, охватывающие несколько областей тела, не классифицированные в других рубриках;T06
10 001 545;Множественные травмы неуточненные;T07
10 001 546;Перелом позвоночника на неуточненном уровне;T08
10 001 547;Другие травмы позвоночника и туловища на неуточненном уровне;T09
10 001 548;Перелом верхней конечности на неуточненном уровне;T10
10 001 549;Другие травмы верхней конечности на неуточненном уровне;T11
10 001 550;Перелом нижней конечности на неуточненном уровне;T12
10 001 551;Другие травмы нижней конечности на неуточненном уровне;T13
10 001 552;Травма неуточненной локализации;T14
10 001 553;Инородное тело в наружной части глаза;T15
10 001 554;Инородное тело в ухе;T16
10 001 555;Инородное тело в дыхательных путях;T17
10 001 556;Инородное тело в пищеварительном тракте;T18
10 001 557;Инородное тело в мочеполовых путях;T19
10 001 558;Термические и химические ожоги головы и шеи;T20
10 001 559;Термические и химические ожоги туловища;T21
10 001 560;Термические и химические ожоги области плечевого пояса и верхней конечности, исключая запястье и кисть;T22
10 001 561;Термические и химические ожоги запястья и кисти;T23
10 001 562;Термические и химические ожоги области тазобедренного сустава и нижней конечности, исключая голеностопный сустав и стопу;T24
10 001 563;Термические и химические ожоги области голеностопного сустава и стопы;T25
10 001 564;Термические и химические ожоги,  ограниченные областью глаза и его придаточного аппарата;T26
10 001 565;Термические и химические ожоги дыхательных путей;T27
10 001 566;Термические и химические ожоги других внутренних органов;T28
10 001 567;Термические и химические ожоги нескольких областей тела;T29
10 001 568;Термические и химические ожоги неуточненной локализации;T30
10 001 569;Термические ожоги, классифицированные в зависимости от площади пораженной поверхности тела;T31
10 001 570;Химические ожоги, классифицированные в зависимости от площади пораженной поверхности тела;T32
10 001 571;Поверхностное отморожение;T33
10 001 572;Отморожение с некрозом тканей;T34
10 001 573;Отморожение, захватывающее несколько областей тела, и неуточненное отморожение;T35
10 001 574;Отравление антибиотиками системного действия;T36
10 001 575;Отравление другими противоинфекционными и противопаразитарными средствами системного действия;T37
10 001 576;Отравление гормонами, их синтетическими заменителями и антагонистами, не классифицированное в других рубриках;T38
10 001 577;Отравление неопиоидными анальгезирующими, жаропонижающими и противоревматическими средствами;T39
10 001 578;Отравление наркотиками и психодислептиками [галлюциногенами];T40
10 001 579;Отравление анестезирующими средствами и терапевтическими газами;T41
10 001 580;Отравление противосудорожными, седативными, снотворными и противопаркинсоническими средствами;T42
10 001 581;Отравление психотропными средствами, не классифицированное в других рубриках;T43
10 001 582;Отравление препаратами, действующими преимущественно на вегетативную нервную систему;T44
10 001 583;Отравление препаратами, преимущественно системного действия и гематологическими агентами, не классифицированное в других рубриках;T45
10 001 584;Отравление препаратами, действующими преимущественно на сердечно-сосудистую систему;T46
10 001 585;Отравление препаратами, действующими преимущественно на органы пищеварения;T47
10 001 586;Отравление препаратами, действующими преимущественно на гладкую и скелетную мускулатуру и органы дыхания;T48
10 001 587;Отравление препаратами местного действия, влияющими преимущественно на кожу и слизистые оболочки, и средствами, используемыми в офтальмологической, отоларингологической и стоматологической практике;T49
10 001 588;Отравление диуретиками и другими неуточненными лекарственными средствами, медикаментами и биологическими веществами;T50
10 001 589;Токсическое действие алкоголя;T51
10 001 590;Токсическое действие органических растворителей;T52
10 001 591;Токсическое действие галогенпроизводных алифатических и ароматических углеводородов;T53
10 001 592;Токсическое действие разъедающих веществ;T54
10 001 593;Токсическое действие мыл и детергентов;T55
10 001 594;Токсическое действие металлов;T56
10 001 595;Токсическое действие других неорганических веществ;T57
10 001 596;Токсическое действие окиси углерода;T58
10 001 597;Токсическое действие других газов, дымов и паров;T59
10 001 598;Токсическое действие пестицидов;T60
10 001 599;Токсическое действие ядовитых веществ, содержащихся в съеденных пищевых морепродуктах;T61
10 001 600;Токсическое действие других ядовитых веществ, содержащихся в съеденных пищевых продуктах;T62
10 001 601;Токсический эффект, обусловленный контактом с ядовитыми животными;T63
10 001 602;Токсическое действие загрязняющих пищевые прдукты афлатоксина и других микотоксинов;T64
10 001 603;Токсическое действие других и неуточненных веществ;T65
10 001 604;Неуточненные эффекты излучения;T66
10 001 605;Эффекты воздействия высокой температуры и света;T67
10 001 606;Гипотермия;T68
10 001 607;Другие эффекты воздействия низкой температуры;T69
10 001 608;Воздействие атмосферного давления и давления воды;T70
10 001 609;Асфиксия;T71
10 001 610;Проявление других форм неблагоприятного воздействия [депривации];T73
10 001 611;Синдром жестокого обращения;T74
10 001 612;Воздействие других внешних причин;T75
10 001 613;Неблагоприятные эффекты, не классифицированные в других рубриках;T78
10 001 614;НЕКОТОРЫЕ РАННИЕ ОСЛОЖНЕНИЯ ТРАВМ;T79
10 001 615;Осложнения, связанные с инфузией, трансфузией и лечебной инъекцией;T80
10 001 616;Осложнения процедур, не классифицированные в других рубриках;T81
10 001 617;Осложнения, связанные с сердечными и сосудистыми устройствами, имплантатами и трансплантатами;T82
10 001 618;Осложнения, связанные с мочеполовыми протезными устройствами,    имплантатами и трансплантатами;T83
10 001 619;Осложнения, связанные с внутренними ортопедическими протезными устройствами, имплантатами и трансплантатами;T84
10 001 620;Осложнения, связанные с внутренними протезными устройствами, имплантатами и трансплантатами;T85
10 001 621;Отмирание и отторжение пересаженных органов и тканей;T86
10 001 622;Осложнения, характерные для реплантации и ампутации;T87
10 001 623;Другие осложнения хирургических и терапевтических вмешательств, не классифицированные в других рубриках;T88
10 001 624;Последствия травм головы;T90
10 001 625;Последствия травм шеи и туловища;T91
10 001 626;Последствия травм верхней конечности;T92
10 001 627;Последствия травм нижней конечности;T93
10 001 628;Последствия травм, захватывающих несколько областей тела, и травм неуточненной локализации;T94
10 001 629;Последствия термических и химических ожогов и отморожений;T95
10 001 630;Последствия отравлений лекарственными средствами, медикаментами и биологическими веществами;T96
10 001 631;Последствия токсического действия веществ преимущественно немедицинского назначения;T97
10 001 632;Последствия других и неуточненных воздействий внешних причин;T98
10 001 633;Пешеход, пострадавший при столкновении с велосипедистом;V01
10 001 634;Пешеход, пострадавший при столкновении с двух- или трехколесным моторным транспортным средством;V02
10 001 635;Пешеход, пострадавший при столкновении с легковым автомобилем, грузовым автомобилем типа пикап или фургоном;V03
10 001 636;Пешеход, пострадавший при столкновении с тяжелым грузовым автомобилем или автобусом;V04
10 001 637;Пешеход, пострадавший при столкновении с поездом или другим железнодорожным транспортным средством;V05
10 001 638;Пешеход, пострадавший при столкновении с другим немоторным транспортным средством;V06
10 001 639;Пешеход, пострадавший в результате других и неуточненных транспортных несчастных случаев;V09
10 001 640;Велосипедист, пострадавший при столкновении с пешеходом или животным;V10
10 001 641;Велосипедист, пострадавший при столкновении с другим велосипедистом;V11
10 001 642;Велосипедист, пострадавший при столкновении с двух- или трехколесным моторным транспортным средством;V12
10 001 643;Велосипедист, пострадавший при столкновении с легковым автомобилем, грузовым автомобилем типа пикап или фургоном;V13
10 001 644;Веосипедист, пострадавший при столкновении с тяжелым грузовым автомобилем или автобусом;V14
10 001 645;Велосипедист, пострадавший при столкновении с поездом или другим железнодорожным транспортным средством;V15
10 001 646;Велосипедист,  пострадавший при столкновении с другим немоторным транспортным средством;V16
10 001 647;Велосипедист, пострадавший при столкновении с закрепленным или стационарным объектом;V17
10 001 648;Велосипедист, пострадавший в результате транспортного несчастного случая без столкновения;V18
10 001 649;Велосипедист, пострадавший в результате других и неуточненных транспортных несчастных случаев;V19
10 001 650;Мотоциклист, пострадавший при столкновении с пешеходом или животным;V20
10 001 651;Мотоциклист, пострадавший при столкновении с велосипедистом;V21
10 001 652;Мотоциклист, пострадавший  при столкновении с двух- или трехколесным моторным транспортным средством;V22
10 001 653;Мотоциклист, пострадавший при столкновении с легковым автомобилем, грузовым автомобилем типа пикап или фургоном;V23
10 001 654;Мотоциклист, пострадавший при столкновении с тяжелым грузовым автомобилем или автобусом;V24
10 001 655;Мотоциклист, пострадавший при столкновении с поездом или другим железнодорожным транспортным средством;V25
10 001 656;Мотоциклист, пострадавший при столкновении с другим немоторным транспортным средством;V26
10 001 657;Мотоциклист, пострадавший при столкновении с закрепленным или стационарным объектом;V27
10 001 658;Мотоциклист, пострадавший в результате транспортного несчастного случая без столкновения;V28
10 001 659;Мотоциклист, пострадавший в результате других и неуточненных транспортных несчастных случаев;V29
10 001 660;Лицо, находившееся в трехколесном моторном транспортном средстве и пострадавшее при его столкновении с пешеходом или животным;V30
10 001 661;Лицо, находившееся в трехколесном моторном транспортном средстве и пострадавшее при его столкновении с велосипедистом;V31
10 001 662;Лицо, находившееся в трехколесном моторном транспортном средстве и пострадавшее при его столкновении с другим двух- или  трехколесным моторным транспортным средством;V32
10 001 663;Лицо, находившееся в трехколесном моторном транспортном средстве и пострадавшее при его столкновении с легковым автомобилем, грузовым автомобилем типа пикап или фургоном;V33
