DGCODE;GRPCODE;DGNAME;MKBCODE
10007301;10001125;Осложнения, связанные с искусственным оплодотворением, неуточненные;N98.9
10007302;10001126;Послеоперационная почечная недостаточность;N99.0
10007303;10001126;Послеоперационная стриктура уретры;N99.1
10007304;10001126;Послеоперационные спайки влагалища;N99.2
10007305;10001126;Выпадение свода влагалища после экстирпации матки;N99.3
10007306;10001126;Послеоперационные спайки в малом тазу;N99.4
10007307;10001126;Дисфункция наружной стомы мочевых путей;N99.5
10007308;10001126;Другие нарушения мочеполовой системы после медицинских процедур;N99.8
10007309;10001126;Нарушение мочеполовой системы после медицинских процедур неуточненное;N99.9
10007310;10001127;Абдоминальная [брюшная] беременность;O00.0
10007311;10001127;Трубная беременность;O00.1
10007312;10001127;Яичниковая беременность;O00.2
10007313;10001127;Другие формы внематочной беременности;O00.8
10007314;10001127;Внематочная беременность неуточненная;O00.9
10007315;10001128;Пузырный занос классический;O01.0
10007316;10001128;Пузырный занос неполный и частичный;O01.1
10007317;10001128;Пузырный занос неуточненный;O01.9
10007318;10001129;Погибшее плодное яйцо и непузырный занос;O02.0
10007319;10001129;Несостоявшийся выкидыш;O02.1
10007320;10001129;Другие уточненные анормальные продукты зачатия;O02.8
10007321;10001129;Анормальный продукт зачатия неуточненный;O02.9
10007322;10001130;Неполный аборт, осложнившийся инфекцией половых путей и тазовых органов;O03.0
10007323;10001130;Неполный аборт, осложнившийся длительным или чрезмерным кровотечением;O03.1
10007324;10001130;Неполный аборт, осложнившийся эмболией;O03.2
10007325;10001130;Неполный аборт с другими и неуточненными осложнениями;O03.3
10007326;10001130;Неполный аборт без осложнений;O03.4
10007327;10001130;Полный или неуточненный аборт, осложнившийся инфекцией половых путей и тазовых органов;O03.5
10007328;10001130;Полный или неуточненный аборт, осложнившийся длительным или чрезмерным кровотечением;O03.6
10007329;10001130;Полный или неуточненный аборт, осложнившийся эмболией;O03.7
10007330;10001130;Полный или неуточненный аборт с другими или неуточненными осложнениями;O03.8
10007331;10001130;Полный или неуточненный аборт без осложнений;O03.9
10007332;10001131;Неполный аборт, осложнившийся инфекцией половых путей и тазовых органов;O04.0
10007333;10001131;Неполный аборт, осложнившийся длительным или чрезмерным кровотечением;O04.1
10007334;10001131;Неполный аборт, осложнившийся эмболией;O04.2
10007335;10001131;Неполный аборт с другими и неуточненными осложнениями;O04.3
10007336;10001131;Неполный аборт без осложнений;O04.4
10007337;10001131;Полный или неуточненный аборт, осложнившийся инфекцией половых путей и тазовых органов;O04.5
10007338;10001131;Полный или неуточненный аборт, осложнившийся длительным или чрезмерным кровотечением;O04.6
10007339;10001131;Полный или неуточненный аборт, осложнившийся эмболией;O04.7
10007340;10001131;Полный или неуточненный аборт с другими или неуточненными осложнениями;O04.8
10007341;10001131;Полный или неуточненный аборт без осложнений;O04.9
10007342;10001132;Неполный аборт, осложнившийся инфекцией половых путей и тазовых органов;O05.0
10007343;10001132;Неполный аборт, осложнившийся длительным или чрезмерным кровотечением;O05.1
10007344;10001132;Неполный аборт, осложнившийся эмболией;O05.2
10007345;10001132;Неполный аборт с другими и неуточненными осложнениями;O05.3
10007346;10001132;Неполный аборт без осложнений;O05.4
10007347;10001132;Полный или неуточненный аборт, осложнившийся инфекцией половых путей и тазовых органов;O05.5
10007348;10001132;Полный или неуточненный аборт, осложнившийся длительным или чрезмерным кровотечением;O05.6
10007349;10001132;Полный или неуточненный аборт, осложнившийся эмболией;O05.7
10007350;10001132;Полный или неуточненный аборт с другими или неуточненными осложнениями;O05.8
10007351;10001132;Полный или неуточненный аборт без осложнений;O05.9
10007352;10001133;Неполный аборт, осложнившийся инфекцией половых путей и тазовых органов;O06.0
10007353;10001133;Неполный аборт, осложнившийся длительным или чрезмерным кровотечением;O06.1
10007354;10001133;Неполный аборт, осложнившийся эмболией;O06.2
10007355;10001133;Неполный аборт с другими и неуточненными осложнениями;O06.3
10007356;10001133;Неполный аборт без осложнений;O06.4
10007357;10001133;Полный или неуточненный аборт, осложнившийся инфекцией половых путей и тазовых органов;O06.5
10007358;10001133;Полный или неуточненный аборт, осложнившийся длительным или чрезмерным кровотечением;O06.6
10007359;10001133;Полный или неуточненный аборт, осложнившийся эмболией;O06.7
10007360;10001133;Полный или неуточненный аборт с другими или неуточненными осложнениями;O06.8
10007361;10001133;Полный или неуточненный аборт без осложнений;O06.9
10007362;10001134;Неудачный медицинский аборт, осложнившийся инфекцией половых путей и тазовых органов;O07.0
10007363;10001134;Неудачный медицинский  аборт, осложнившийся длительным или чрезмерным кровотечением;O07.1
10007364;10001134;Неудачный медицинский аборт, осложнившийся эмболией;O07.2
10007365;10001134;Неудачный медицинский аборт с другими и неуточненными осложнениями;O07.3
10007366;10001134;Неудачный медицинский аборт без осложнений;O07.4
10007367;10001134;Другие и неуточненные неудачные попытки аборта, осложнившиеся инфекцией половых путей и тазовых органов;O07.5
10007368;10001134;Другие и неуточненные неудачные попытки аборта, осложнившиеся длительным или чрезмерным кровотечением;O07.6
10007369;10001134;Другие и неуточненные неудачные попытки аборта, осложнившиеся эмболией;O07.7
10007370;10001134;Другие и неуточненные неудачные попытки аборта с другими и неуточненными осложнениями;O07.8
10007371;10001134;Другие и неуточненные неудачные попытки аборта без осложнений;O07.9
10007372;10001135;Инфекция половых путей и тазовых органов, вызванная абортом, внематочной и молярной беременностью;O08.0
10007373;10001135;Длительное или массивное кровотечение, вызванное абортом, внематочной и молярной беременностью;O08.1
10007374;10001135;Эмболия, вызванная абортом, внематочной и молярной беременностью;O08.2
10007375;10001135;Шок, вызванный абортом, внематочной и молярной беременностью;O08.3
10007376;10001135;Почечная недостаточность, вызванная абортом, внематочной и молярной беременностью;O08.4
10007377;10001135;Нарушения обмена веществ, вызванные абортом, внематочной и молярной беременностью;O08.5
10007378;10001135;Повреждения тазовых органов и тканей, вызванные абортом, внематочной и молярной беременностью;O08.6
10007379;10001135;Другие венозные осложнения, вызванные абортом,внематочной и молярной беременностью;O08.7
10007380;10001135;Другие осложнения, вызванные абортом, внематочной и молярной беременностью;O08.8
10007381;10001135;Осложнение, вызванное абортом, внематочной и молярной беременностью, неуточненное;O08.9
10007382;10001136;Существовавшая ранее эссенциальная гипертензия, осложняющая беременность, роды и послеродовой период;O10.0
10007383;10001136;Существовавшая ранее кардиоваскулярная гипертензия, осложняющая беременность, роды и послеродовой период;O10.1
10007384;10001136;Существовавшая ранее почечная гипертензия, осложняющая беременность, роды и послеродовой период;O10.2
10007385;10001136;Существовавшая ранее кардиоваскулярная и почечная гипер тензия, осложняющая беременность, роды и послеродовой период;O10.3
10007386;10001136;Существовавшая ранее вторичная гипертензия, осложняющая беременность, роды и послеродовой период;O10.4
10007387;10001136;Существовавшая ранее гипертензия, осложняющая беременность, роды и послеродовой период, неуточненная;O10.9
10007388;10001138;Вызванные беременностью отеки;O12.0
10007389;10001138;Вызванная беременностью протеинурия;O12.1
10007390;10001138;Вызванные беременностью отеки с протеинурией;O12.2
10007391;10001140;Преэклампсия [нефропатия] средней тяжести;O14.0
10007392;10001140;Тяжелая преэклампсия;O14.1
10007393;10001140;Преэклампсия [нефропатия] неуточненная;O14.9
10007394;10001141;Эклампсия во время беременности;O15.0
10007395;10001141;Эклампсия в родах;O15.1
10007396;10001141;Эклампсия в послеродовом периоде;O15.2
10007397;10001141;Эклампсия неуточненная по срокам;O15.9
10007398;10001143;Угрожающий аборт;O20.0
10007399;10001143;Другие кровотечения в ранние сроки беременности;O20.8
10007400;10001143;Кровотечение в ранние сроки беременности неуточненное;O20.9
10007401;10001144;Рвота беременных легкая или умеренная;O21.0
10007402;10001144;Чрезмерная или тяжелая рвота беременных с нарушениями обмена веществ;O21.1
10007403;10001144;Поздняя рвота беременных;O21.2
10007404;10001144;Другие формы рвоты, осложняющей беременность;O21.8
10007405;10001144;Рвота беременных неуточненная;O21.9
10007406;10001145;Варикозное расширение вен нижних конечностей во время беременности;O22.0
10007407;10001145;Варикозное расширение вен половых органов во время беременности;O22.1
10007408;10001145;Поверхностный тромбофлебит во время беременности;O22.2
10007409;10001145;Глубокий флеботромбоз во время беременности;O22.3
10007410;10001145;Геморрой во время беременности;O22.4
10007411;10001145;Тромбоз церебральных вен во время беременности;O22.5
10007412;10001145;Другие венозные осложнения во время беременности;O22.8
10007413;10001145;Венозное осложнение во время беременности неуточненное;O22.9
10007414;10001146;Инфекция почек при беременности;O23.0
10007415;10001146;Инфекция мочевого пузыря при беременности;O23.1
10007416;10001146;Инфекция уретры при беременности;O23.2
10007417;10001146;Инфекция других отделов мочевых путей при беременности;O23.3
10007418;10001146;Инфекция мочевых путей при беременности неуточненная;O23.4
10007419;10001146;Инфекция половых путей при беременности;O23.5
10007420;10001146;Другая и неуточненная инфекция мочеполовых путей при беременности;O23.9
10007421;10001147;Существовавший ранее сахарный диабет инсулинзависимый;O24.0
10007422;10001147;Существовавший ранее сахарный диабет инсулиннезависимый;O24.1
10007423;10001147;Существовавший ранее сахарный диабет, связанный с недостаточностью питания;O24.2
10007424;10001147;Существовавший ранее сахарный диабет неуточненный;O24.3
10007425;10001147;Сахарный диабет, развившийся во время беременности;O24.4
10007426;10001147;Сахарный диабет при беременности неуточненный;O24.9
10007427;10001149;Чрезмерное увеличение массы тела во время беременности;O26.0
10007428;10001149;Недостаточное увеличение массы тела во время беременности;O26.1
10007429;10001149;Медицинская помощь женщине с привычным невынашиванием беременности;O26.2
10007430;10001149;Оставшееся внутриматочное противозачаточное средство при беременности;O26.3
10007431;10001149;Герпес беременных;O26.4
10007432;10001149;Гипотензивный синдром у матери;O26.5
10007433;10001149;Поражения печени во время беременности, родов и в послеродовом периоде;O26.6
10007434;10001149;Подвывих лонного сочленения во время беременности, родов и в послеродовом периоде;O26.7
10007435;10001149;Другие уточненные состояния, связанные с беременностью;O26.8
10007436;10001149;Состояние, связанное с беременностью, неуточненное;O26.9
10007437;10001150;Гематологические отклонения, выявленные при антенатальном обследовании матери;O28.0
10007438;10001150;Биохимические отклонения, выявленные при антенатальном обследовании матери;O28.1
10007439;10001150;Цитологические изменения, выявленные при антенатальном обследовании матери;O28.2
10007440;10001150;Патологические изменения, выявленные при ультразвуковом антенатальном обследовании матери;O28.3
10007441;10001150;Патологические изменения, выявленные при рентгенологическом антенатальном обследовании матери;O28.4
10007442;10001150;Хромосомные или генетические аномалии, выявленные при антенатальном обследовании матери;O28.5
10007443;10001150;Другие отклонения от нормы, выявленные при антенатальном обследовании матери;O28.8
10007444;10001150;Отклонение от нормы, выявленное при антенатальном обследовании матери, неуточненное;O28.9
10007445;10001151;Легочные осложнения анестезии в период беременности;O29.0
10007446;10001151;Кардиологические осложнения анестезии в период беременности;O29.1
10007447;10001151;Осложнения со стороны центральной нервной системы в связи с анестезией в период беременности;O29.2
10007448;10001151;Токсическая реакция на местную анестезию в период беременности;O29.3
10007449;10001151;Головные боли, вызванные применением спинномзоговой или эпидуральной анестезии в период беременности;O29.4
10007450;10001151;Другие осложнения спинномозговой или эпидуральной анестезии в период беременности;O29.5
10007451;10001151;Неудача или трудности при интубации во время беременности;O29.6
10007452;10001151;Другие осложнения анестезии в период беременности;O29.8
10007453;10001151;Осложнение анестезии в период беременности неуточненное;O29.9
10007454;10001152;Беременность двойней;O30.0
10007455;10001152;Беременность тройней;O30.1
10007456;10001152;Беременность четырьмя плодами;O30.2
10007457;10001152;Другие формы многоплодной беременности;O30.8
10007458;10001152;Многоплодная беременность неуточненная;O30.9
10007459;10001153;Бумажный плод;O31.0
10007460;10001153;Продолжающаяся беременность после аборта одного или более чем одного плода;O31.1
10007461;10001153;Продолжающаяся беременность после внутриутробной гибели одного или более чем одного плода;O31.2
10007462;10001153;Другие осложнения, характерные для многоплодной беременности;O31.8
10007463;10001154;Неустойчивое положение плода, требующее предоставления медицинской помощи матери;O32.0
10007464;10001154;Ягодичное предлежание плода, требующее предоставления медицинской помощи матери;O32.1
10007465;10001154;Поперечное или косое положение плода, требующее предоставления медицинской помощи матери;O32.2
10007466;10001154;Лицевое, лобное или подбородочное предлежание плода, требующее предоставления медицинской помощи матери;O32.3
10007467;10001154;Высокое стояние головки к концу беременности, требующее предоставления медицинской помощи матери;O32.4
10007468;10001154;Многоплодная беременность с неправильным предлежанием одного или нескольких плодов, требующая предоставления медицинской помощи матери;O32.5
10007469;10001154;Комбинированное предлежание плода, требующее предоставления медицинской помощи матери;O32.6
10007470;10001154;Другие формы неправильного предлежания плода, требующие предоставления медицинской помощи матери;O32.8
10007471;10001154;Неправильное предлежание плода, требующее предоставления медицинской помощи матери, неуточненное;O32.9
10007472;10001155;Деформация костей таза, приводящая к диспропорции, требующей предоставления медицинской помощи матери;O33.0
10007473;10001155;Равномерно суженный таз, приводящий к диспропорции, требующей предоставления медицинской помощи матери;O33.1
10007474;10001155;Сужение входа таза, приводящее к диспропорции, требующей предоставления медицинской помощи матери;O33.2
10007475;10001155;Сужение выхода таза, приводящее к диспропорции, требующей предоставления медицинской помощи матери;O33.3
10007476;10001155;Диспропорция смешанного материнского и плодного происхождения, требующая предоставления медицинской помощи матери;O33.4
10007477;10001155;Крупные размеры плода, приводящие к диспропорции, требующей предоставления медицинской помощи матери;O33.5
10007478;10001155;Гидроцефалия плода, приводящая к диспропорции, требующей предоставления медицинской помощи матери;O33.6
10007479;10001155;Другие аномалии плода, приводящие к диспропорции, требующей предоставления медицинской помощи матери;O33.7
10007480;10001155;Диспропорция вследствие других причин, требующая предоставления медицинской помощи матери;O33.8
10007481;10001155;Диспропорция, требующая предоставления медицинской помощи матери, неуточненная;O33.9
10007482;10001156;Врожденные аномалии матки, требующие предоставления медицинской помощи матери;O34.0
10007483;10001156;Опухоль тела матки, требующая предоставления медицинской помощи матери;O34.1
10007484;10001156;Послеоперационный рубец матки, требующий предоставления медицинской помощи матери;O34.2
10007485;10001156;Истмико-цервикальная недостаточность, требующая предоставления медицинской помощи матери;O34.3
10007486;10001156;Другие аномалии шейки матки,требующие предоставления медицинской помощи матери;O34.4
10007487;10001156;Другие аномалии беременной матки, требующие предоставления медицинской помощи матери;O34.5
10007488;10001156;Аномалии влагалища, требующие предоставления медицинской помощи матери;O34.6
10007489;10001156;Аномалии вульвы и промежности, требующие предоставления медицинской помощи матери;O34.7
10007490;10001156;Другие уточненные аномалии тазовых органов, требующие предоставления медицинской помощи матери;O34.8
10007491;10001156;Аномалия тазовых органов, требующая предоставления медицинской помощи матери, неуточненная;O34.9
10007492;10001157;Пороки развития центральной нервной системы у плода, требующие предоставления медицинской помощи матери;O35.0
10007493;10001157;Хромосомные аномалии у плода (предполагаемые), требующие предоставления медицинской помощи матери;O35.1
10007494;10001157;Наследственные болезни у плода (предполагаемые), требующие предоставления медицинской помощи матери;O35.2
10007495;10001157;Поражение плода (предполагаемое) в результате вирусного заболевания матери, требующее предоставления медицинской помощи матери;O35.3
10007496;10001157;Поражение плода (предполагаемое) в результате воздействия алкоголя, требующее предоставления медицинской помощи матери;O35.4
10007497;10001157;Поражение плода (предполагаемое) в результате употребления лекарственных средств, требующее предоставления медицинской помощи матери;O35.5
10007498;10001157;Поражение плода (предполагаемое) в результате радиации,требующее предоставления медицинской помощи матери;O35.6
10007499;10001157;Поражение плода (предполагаемое) в результате других медицинских процедур, требующее предоставления медицинской помощи матери;O35.7
10007500;10001157;Другие аномалии и поражения плода (предполагаемые), требующие предоставления медицинской помощи матери;O35.8
10007501;10001157;Аномалия и поражение плода, требующие предоставления медицинской помощи матери, неуточненные;O35.9
10007502;10001158;Резус-иммунизация, требующая предоставления медицинской помощи матери;O36.0
10007503;10001158;Другие формы изоиммунизации, требующие предоставления медицинской помощи матери;O36.1
10007504;10001158;Водянка плода, требующая предоставления медицинской помощи матери;O36.2
10007505;10001158;Признаки внутриутробной гипоксии плода, требующие предоставления медицинской помощи матери;O36.3
10007506;10001158;Внутриутробная гибель плода, требующая предоставления медицинской помощи матери;O36.4
10007507;10001158;Недостаточный рост плода,требующий предоставления медицинской помощи матери;O36.5
10007508;10001158;Избыточный рост плода, требующий предоставления медицинской помощи матери;O36.6
10007509;10001158;Жизнеспособный плод при абдоминальной беременности, требующей предоставления медицинской помощи матери;O36.7
10007510;10001158;Другие уточненные отклонения в состоянии плода, требующие предоставления медицинской помощи матери;O36.8
10007511;10001158;Отклонение в состоянии плода, требующее предоставления медицинской помощи матери, неуточненное;O36.9
10007512;10001160;Олигогидрамнион;O41.0
10007513;10001160;Инфекция амниотической полости и плодных оболочек;O41.1
10007514;10001160;Другие уточненные нарушения амниотической жидкости и плодных оболочек;O41.8
10007515;10001160;Нарушение амниотической жидкости и плодных оболочек неуточненное;O41.9
10007516;10001161;Преждевременный разрыв плодных оболочек, начало родов в последующие 24 ч;O42.0
10007517;10001161;Преждевременный разрыв плодных оболочек, начало родов после 24-часового безводного периода;O42.1
10007518;10001161;Преждевременный разрыв плодных оболочек, задержка родов,связанная с проводимой терапией;O42.2
10007519;10001161;Преждевременный разрыв плодных оболочек неуточненный;O42.9
10007520;10001162;Синдромы плацентарной трансфузии;O43.0
10007521;10001162;Аномалия плаценты;O43.1
10007522;10001162;Другие плацентарные нарушения;O43.8
10007523;10001162;Плацентарное нарушение неуточненное;O43.9
10007524;10001163;Предлежание плаценты, уточненное как без кровотечения;O44.0
10007525;10001163;Предлежание плаценты с кровотечением;O44.1
10007526;10001164;Преждевременная отслойка плаценты с нарушением свертываемости крови;O45.0
10007527;10001164;Другая преждевременная отслойка плаценты;O45.8
10007528;10001164;Преждевременная отслойка плаценты неуточненная;O45.9
10007529;10001165;Дородовое кровотечение с нарушением свертываемости;O46.0
10007530;10001165;Другое дородовое кровотечение;O46.8
10007531;10001165;Дородовое кровотечение неуточненное;O46.9
10007532;10001166;Ложные схватки до 37 полных недель беременности;O47.0
10007533;10001166;Ложные схватки начиная с 37 полных недель беременности;O47.1
10007534;10001166;Ложные схватки неуточненные;O47.9
10007535;10001169;Неудачная попытка стимуляции родов медикаментозными средствами:;O61.0
10007536;10001169;Неудачная попытка стимуляции родов инструментальными методами:;O61.1
10007537;10001169;Другие виды неудачной попытки стимуляции родов;O61.8
10007538;10001169;Неудачная попытка стимуляции родов неуточненная;O61.9
10007539;10001170;Первичная слабость родовой деятельности;O62.0
10007540;10001170;Вторичная слабость родовой деятельности;O62.1
10007541;10001170;Другие виды слабости родовой деятельности;O62.2
10007542;10001170;Стремительные роды;O62.3
10007543;10001170;Гипертонические, некоординированные и затянувшиеся сокращения матки;O62.4
10007544;10001170;Другие нарушения родовой деятельности;O62.8
10007545;10001170;Нарушение родовой деятельности неуточненное;O62.9
10007546;10001171;Затянувшийся первый период родов;O63.0
10007547;10001171;Затянувшийся второй период родов;O63.1
10007548;10001171;Задержка рождения второго плода из двойни, тройни и т. д.;O63.2
10007549;10001171;Затяжные роды неуточненные;O63.9
10007550;10001172;Затрудненные роды вследствие неполного поворота головки плода;O64.0
10007551;10001172;Затрудненные роды вследствие ягодичного предлежания;O64.1
10007552;10001172;Затрудненные роды вследствие лицевого предлежания;O64.2
10007553;10001172;Затрудненные роды вследствие лобного предлежания;O64.3
10007554;10001172;Затрудненные роды вследствие предлежания плечика;O64.4
10007555;10001172;Затрудненные роды вследствие комбинированного предлежания;O64.5
10007556;10001172;Затрудненные роды вследствие другого неправильного положения и предлежания плода;O64.8
10007557;10001172;Затрудненные роды вследствие неправильного положения и предлежания плода неуточненного;O64.9
10007558;10001173;Затрудненные роды вследствие деформации таза;O65.0
10007559;10001173;Затрудненные роды вследствие равномерно суженного таза;O65.1
10007560;10001173;Затрудненные роды вследствие сужения входа таза;O65.2
10007561;10001173;Затрудненные роды вследствие сужения выходного отверстия и среднего диаметра таза;O65.3
10007562;10001173;Затрудненные роды вследствие несоответствия размеров таза и плода неуточненного;O65.4
10007563;10001173;Затрудненные роды вследствие аномалии органов таза у матери;O65.5
10007564;10001173;Затрудненные роды вследствие других аномалий таза у матери;O65.8
10007565;10001173;Затрудненные роды вследствие аномалии таза у матери неуточненной;O65.9
10007566;10001174;Затрудненные роды [дистоция] вследствие предлежания плечика;O66.0
10007567;10001174;Затрудненные роды вследствие сцепления [коллизии] близнецов;O66.1
10007568;10001174;Затрудненные роды вследствие необычно крупного плода;O66.2
10007569;10001174;Затрудненные роды вследствие других аномалий плода;O66.3
10007570;10001174;Неудачная попытка вызвать роды неуточненная;O66.4
10007571;10001174;Неудачная попытка применения вакуум-экстрактора и наложения щипцов неуточненная;O66.5
10007572;10001174;Другие уточненные виды затрудненных родов;O66.8
10007573;10001174;Затрудненные роды неуточненные;O66.9
10007574;10001175;Кровотечение во время родов с нарушением свертываемости крови;O67.0
10007575;10001175;Другие кровотечения во время родов;O67.8
10007576;10001175;Кровотечение во время родов неуточненное;O67.9
10007577;10001176;Роды, осложнившиеся изменениями частоты сердечных сокращений плода;O68.0
10007578;10001176;Роды, осложнившиеся выходом мекония в амниотическую жидкость;O68.1
10007579;10001176;Роды, осложнившиеся изменениями частоты сердечных сокращений плода с выходом мекония в амниотическую жидкость;O68.2
10007580;10001176;Роды, осложнившиеся появлением биохимических признаков стресса плода;O68.3
10007581;10001176;Роды, осложнившиеся появлением других признаков стресса плода;O68.8
10007582;10001176;Роды, осложнившиеся стрессом плода неуточненным;O68.9
10007583;10001177;Роды, осложнившиеся выпадением пуповины;O69.0
10007584;10001177;Роды, осложнившиеся обвитием пуповины вокруг шеи со сдавлением;O69.1
10007585;10001177;Роды, осложнившиеся запутыванием пуповины;O69.2
10007586;10001177;Роды, осложнившиеся короткой пуповиной;O69.3
10007587;10001177;Роды, осложнившиеся предлежанием сосуда [vasa praevia];O69.4
10007588;10001177;Роды, осложнившиеся повреждением сосудов пуповины;O69.5
10007589;10001177;Роды, осложнившиеся другими патологическими состояниями пуповины;O69.8
10007590;10001177;Роды, осложнившиеся патологическим состоянием пуповины неуточненным;O69.9
10007591;10001178;Разрыв промежности первой степени в процессе родоразрешения;O70.0
10007592;10001178;Разрыв промежности второй степени в процессе родоразрешения;O70.1
10007593;10001178;Разрыв промежности третьей степени в процессе родоразрешения;O70.2
10007594;10001178;Разрыв промежности четвертой степени в процессе родоразрешения;O70.3
10007595;10001178;Разрыв промежности в процессе родоразрешения неуточненный;O70.9
10007596;10001179;Разрыв матки до начала родов;O71.0
10007597;10001179;Разрыв матки во время родов;O71.1
10007598;10001179;Послеродовой выворот матки;O71.2
10007599;10001179;Акушерский разрыв шейки матки;O71.3
10007600;10001179;Акушерский разрыв только верхнего отдела влагалища;O71.4
10007601;10001179;Другие акушерские травмы тазовых органов;O71.5
10007602;10001179;Акушерские травмы тазовых суставов и связок;O71.6
10007603;10001179;Акушерская гематома таза;O71.7
10007604;10001179;Другие уточненные акушерские травмы;O71.8
10007605;10001179;Акушерская травма неуточненная;O71.9
10007606;10001180;Кровотечение в третьем периоде родов;O72.0
10007607;10001180;Другие кровотечения в раннем послеродовом периоде;O72.1
10007608;10001180;Позднее или вторичное послеродовое кровотечение;O72.2
10007609;10001180;Послеродовая(ой):;O72.3
10007610;10001181;Задержка плаценты без кровотечения;O73.0
10007611;10001181;Задержка частей плаценты или плодных оболочек без кровотечения;O73.1
10007612;10001182;Аспирационный пневмонит, вследствие анестезии во время процесса родов и родоразрешения;O74.0
10007613;10001182;Другие осложнения со стороны легких вследствие анестезии во время родов и родоразрешения;O74.1
10007614;10001182;Осложнения со стороны сердца вследствие анестезии во время родов и родоразрешения;O74.2
10007615;10001182;Осложнения со стороны центральной нервной системы вследствие анестезии во время родов и родоразрешения;O74.3
10007616;10001182;Токсическая реакция на местную анестезию во время родов и родоразрешения;O74.4
10007617;10001182;Головные боли, связанные с проведением спинномозговой и эпидуральной анестезии во время родов и родоразрешения;O74.5
10007618;10001182;Другие осложнения спинномозговой и эпидуральной анестезии во время родов и родоразрешения;O74.6
10007619;10001182;Неудачная попытка или трудности при интубации во время родов и родоразрешения;O74.7
